id,method,factors,nobs,bias_withoutC_L2,bias_withoutC_L6,bias_withoutC_L8,bias_withoutC_L12,bias_withoutC_Ti8.b,bias_withoutC_Ti12.b,bias_withoutC_C1,bias_withoutC_Errvar2,bias_withoutC_Errvar6
49,DWLS,2,200,-7.551882470839627,15.644507763898346,-3.1985485423985107,-1.2777972855658368,3.76082876612559,0,29.951974027205008,3.3993231228280565,-28.927274618610006
50,DWLS,2,200,1.7085420824712454,6.6649521164720005,0.768829934151366,-2.4738750046906697,-8.78448378958717,-8.78448378958718,-19.954045603002662,23.47920865780611,-19.90248279802282
51,DWLS,2,200,-1.8163673206642583,24.713563914361508,2.441861774448495,17.59334183158201,-2.50689082587111,-12.566134685507398,-13.769502975251665,6.782714739311955,-33.999250670233124
52,DWLS,2,200,6.577982194097498,37.263399632498846,-1.8482586534751266,17.92422894387001,0,10.043372051147,46.67090684684566,3.685487886936669,-36.03553828924656
53,DWLS,2,200,2.0951136054823682,28.9909141711495,5.835697426290615,16.29181879589951,-8.78448378958718,-5.01535834647337,11.80343846101567,-17.188603879105553,-32.99982719011313
54,DWLS,2,200,-1.8014329590030076,24.30580539463617,12.01304888723187,7.9928931478466625,-5.01535834647337,-11.3038540644565,66.88194856642366,1.6050978419113953,-38.74041421259344
55,DWLS,2,200,-8.332613083063379,9.218765543278495,-4.259178902377883,-7.834672958774325,-3.76082876612559,-2.50689082587111,-0.32352015799598977,15.448325343561942,-32.78012658341328
56,DWLS,2,200,4.2458981956874915,4.218115920198995,4.950234097620868,0.03683403057834027,13.8304207961404,2.50689082587111,-20.132082212091664,-1.7252110362505562,-16.281666841586105
57,DWLS,2,200,-22.621125051094758,26.921794953638166,3.024232350632372,5.355730827869499,1.2533469508069301,-15.096921549677699,30.48386201100367,29.514238899023056,-32.635910102421725
58,DWLS,2,200,-0.5825951755307618,7.198209620552842,1.736340473494122,-5.037233089184505,2.50689082587111,13.8304207961404,48.00817718236935,35.97025821033834,-27.293343162841254
59,DWLS,2,200,-0.14557249006563744,38.52549671561067,4.656408626659863,-5.148097268359668,11.3038540644565,1.2533469508069301,11.68935506409367,-20.037694379327775,-43.88162648899422
60,DWLS,2,200,3.4800014531704977,19.40941141774116,-0.17038470210563317,13.515655173066337,7.52698620998299,5.01535834647337,65.87542749627467,25.445663914506113,-28.001782022691724
61,DWLS,2,200,-6.632144509995011,45.93671545859651,-0.2930443578754993,23.206690443385174,0,-2.50689082587111,59.41224799179334,18.01862100305139,-36.98476468747609
62,DWLS,2,200,10.27251901816012,9.710216289773996,2.2299311547378657,-6.120614798736823,1.2533469508069301,10.043372051147,-11.181503829281663,-13.93229753421306,-33.55047046206031
63,DWLS,2,200,3.5090907664483693,26.546268147223493,-2.880441922488375,2.1301039485221627,-8.78448378958718,-15.096921549677699,33.25165545545033,-15.179809511165548,-11.023774992160156
64,DWLS,2,200,-13.931780119940507,7.214979378851831,0.7350828425231187,-5.614843544926159,-13.8304207961405,-12.566134685507398,26.393826899955673,15.38947541698973,-23.898480415467972
65,DWLS,2,200,-1.3878828021108847,13.753248853271005,-1.0510116881406324,3.223178276359836,-5.01535834647337,0,9.249220570959338,-12.485120712869989,-10.270269183095623
66,DWLS,2,200,-3.2462963498702537,14.396496713435496,-6.092930643819258,0.8708694584288283,-2.50689082587111,7.52698620998299,3.1352323151629946,8.57845953868528,-37.52524286698297
67,DWLS,2,200,5.304504351257372,28.56805524364318,6.44734377598237,2.006784324344831,-1.2533469508069301,8.78448378958718,53.12634103557134,-2.5416710702349925,-17.162709021008286
68,DWLS,2,200,-16.239574415569127,16.953872367280837,5.81534849555812,7.161885892714179,-6.27067779432138,-11.3038540644565,45.711968922774666,5.432545740434724,-45.60957922539219
69,DWLS,2,200,-7.8851795934241355,43.99374521503617,8.948647208953872,4.115963171088829,10.043372051147,0,28.806770418488668,38.32363264445139,-46.2893763629
70,DWLS,2,200,-6.017187218316761,32.06393681907584,-5.883702199659127,-2.5412513629358333,-7.52698620998298,-1.2533469508069301,-6.1884296178363325,0.11543122248501107,-24.381058718941873
71,DWLS,2,200,2.2856562023023663,36.28460417848301,-1.7549185769617504,8.895023468231344,0,3.76082876612559,24.783083257512995,28.756447880487237,-18.523395154014068
72,DWLS,2,200,17.18962337865787,18.16694585147351,-0.40227927033413546,11.73150199678517,6.27067779432136,5.01535834647336,28.412743653182677,-30.71521065930778,-21.492996772721416
73,DWLS,2,200,1.0520981780516165,7.562655553868833,-2.3645978768507545,-3.225949880891995,10.043372051147,1.2533469508069301,10.435563970530009,21.023536315241397,-35.18416755494344
74,DWLS,2,200,2.04356096149437,20.323450987584998,-2.170854575723011,-4.570312571611002,-2.50689082587111,-1.2533469508069301,7.545398799484331,17.524212493559443,-27.460734617054687
