id,method,factors,nobs,bias_withC_L_SE2,bias_withC_L_SE6,bias_withC_L_SEa,bias_withC_L_SE8,bias_withC_L_SE12,bias_withC_T_SEi8.b,bias_withC_T_SEi12.b,bias_withC_C_SE1,bias_withC_Errvar_SE2,bias_withC_Errvar_SE6
19,DWLS,2,200,-1.2837492797720347,-1.6843452630882585,-0.7562373837625792,-0.17902431777204741,-2.372970279869322,-2.0908995774786625,-2.220077612173131,-1.1018271023883772,-0.2988391056056458,-0.8433078565980162
20,DWLS,2,200,-1.5570723385166538,-2.1000436797824285,-1.919742054605459,0.13530925388805237,-0.670740024151472,-2.0908995774786723,-2.2167613725429707,-0.7130866666121567,-0.5996102444640362,-1.3901256710435654
21,DWLS,2,200,-2.0253989225406435,-1.3403372364060286,-1.3850444963073492,-0.8083965214119075,-1.0279633489204625,-2.0997975599344523,-2.220077612173131,-1.2889329203466366,-2.4514126316707254,-1.8149305408721352
22,DWLS,2,200,-1.8772212343780244,-1.6180560315887889,-1.2247012001672892,0.28086479457827274,-1.4900166627487228,-2.091660533427242,-2.2167613725429414,-0.6770893388365167,-1.115090858707006,-0.3276332672688162
23,DWLS,2,200,-2.4742573555063534,-1.480442393217298,-2.1068075664887798,-1.8588626281206173,-1.6879493764925417,-2.0997975599344523,-2.233146926698541,-1.485003134943997,-0.863951271026546,-0.4501437948720356
24,DWLS,2,200,-0.268914896592444,-1.7048626935440383,-1.6597339297112594,-1.3341313675934072,-0.8219308504317722,-2.0908995774786723,-2.2078633900871614,-1.2332669489850172,0.14130226808294413,-0.4811266381829056
25,DWLS,2,200,-1.904981244767124,-1.2060730980537886,-1.4895978761452093,-0.6136179036362772,-1.6702070306962116,-2.0908995774786723,-2.2509814001926713,-1.2916327576828666,-1.0739689271189263,0.7617988496856138
26,DWLS,2,200,-2.2392569445470945,-1.7034638247081382,-1.2518374612890495,-0.6043165885405273,-1.2289395622023123,-2.0908995774786527,-2.2086243460357506,-1.3653134353920868,-1.3381727007597655,-1.4595775338993755
27,DWLS,2,200,-1.171664657835874,-0.9606295243785888,-2.0870926801101093,-2.0656362305852674,-1.0385363383968123,-2.1031137995646225,-2.258008411058951,-2.6223208878601376,-1.023250626216806,-0.7586536780641362
28,DWLS,2,200,-1.3601873936417936,-2.048564206827618,-1.4994454946147089,-0.8015189913716574,-0.8473315494220521,-2.0997975599344714,-2.2098933244870613,-1.0598880727429878,-0.7021544417397156,-0.7552024390850356
29,DWLS,2,200,-0.8794740303623538,-0.32174678623796904,-1.001318396803979,-0.9122020559910675,-0.9748967093243722,-2.0969962903611012,-2.2116714050776616,-1.4473563308861674,-0.22308303017339604,-1.1776608844532557
30,DWLS,2,200,-1.5629154600518245,-2.165896155692549,-1.7007891521326293,-0.2618829551562375,-0.8171700861312824,-2.090645997297262,-2.220077612173131,-0.3675396597238666,-1.5999276535338254,-1.3266634101958954
31,DWLS,2,200,-1.2110999484112046,-1.393088856261778,-1.3182391465827885,0.16672511253787228,-0.8047784813413326,-2.1275354098922326,-2.208624346035731,-0.8054359131609768,-0.5061695640130857,-1.1680026366949057
32,DWLS,2,200,-2.2548717976826347,-2.094980061782569,-1.2495112545565796,-0.20828462885233712,-0.8093129333275821,-2.1161831140900422,-2.2078633900871614,-1.0905085155966368,-1.1897601573004957,-1.763240774232186
33,DWLS,2,200,-1.1937706925248044,-0.9543949079833087,-1.1366313815746591,-1.7430782049544873,-0.6976781340484726,-2.094707592469151,-2.2116714050776616,-1.777594650835617,-0.3117418888024262,-0.20501144770774596
34,DWLS,2,200,-2.4273286753767933,-1.0834547089393984,-1.9396001924633386,-0.5119322674462177,-1.0306730169601022,-2.090645997297252,-2.220077612173141,-1.3285838000934267,0.21140719834190427,-0.5981553744164758
35,DWLS,2,200,-1.3984793747268944,-0.9396214161432582,-1.745602176817109,-0.7220129882387176,-1.2273884718122825,-2.0916605334272615,-2.2076098099057515,-0.9831496176615072,-1.4748636692786865,-0.43688269809415564
36,DWLS,2,200,-1.5832951093177845,-1.3399863790322493,-1.600572490998229,-0.3516524309848078,0.13592802693516773,-2.094707592469151,-2.2239116701173303,-1.7109192561758266,-0.8771413055162859,-1.8189032248214554
37,DWLS,2,200,-0.8787038606436842,-1.6259247118976285,-0.9617079763926992,-1.0130329731727874,-1.349382119791722,-2.1161831140900422,-2.207863390087171,-1.3915144494980567,0.5044310432236341,-1.3527639225914754
38,DWLS,2,200,-0.4805174472868143,-2.219730578019959,-2.0280267588799394,-1.8956147020571572,-1.9353723213908123,-2.0916605334272615,-2.2331469266985318,-0.5935605055824473,-0.39843362451043585,-0.6560171954356555
39,DWLS,2,200,-0.5589197315022942,-1.0969909796163988,-1.9148892886294184,-1.0598116751682172,-1.5398908096465416,-2.090645997297262,-2.2078633900871614,-1.0054973560229878,-0.7255435993593261,-1.540197550103456
40,DWLS,2,200,-1.4708522555759336,-1.414932463484659,-1.3568591735783195,-0.31040122518052743,-0.9269970977384523,-2.094707592469151,-2.2086243460357506,-1.141632895661617,-1.396295607911466,-0.702302058334036
41,DWLS,2,200,-1.086565271089024,-0.643434248076799,-0.612525966180659,-0.6124795143288474,-1.1724257494664019,-2.0916605334272518,-2.2078633900871614,-1.3640320080052566,-0.3645172956253759,-0.43169285953158565
42,DWLS,2,200,-1.853678827447914,-1.5500501424624593,-1.3462295014019694,-1.0638115743537575,-0.40988122522137227,-2.1410445984504616,-2.2139601029696214,-1.1864958257177878,-0.6618392781838456,-1.3873364878575156
43,DWLS,2,200,-2.1259814548955336,-2.3804938617122384,-1.7367268986506292,-1.2839808395164674,-2.6136515297011726,-2.094707592469151,-2.2282668515380717,-0.6948419498909779,-1.1441707595154358,-2.1233467143141755
44,DWLS,2,200,-1.2883592870212437,-1.2544883717238589,-1.0979896712378991,-0.45384255427844755,-0.8949923530350623,-2.0916605334272615,-2.220077612173131,-1.2671195461202371,0.11633644132205412,-0.8795153031443557
45,DWLS,2,200,-1.2453415988893344,-1.5558825427525493,-1.6736861485928185,-0.7206977845694678,-1.4140770558617226,-2.0906459972972415,-2.2116714050776505,-1.2887227074940868,-0.23602681015357577,-1.2685226320056557
46,DWLS,2,200,-1.6722839425656646,-2.219452850374278,-2.3868734553877786,-1.047054091077977,-0.5810694230392821,-2.0947075924691623,-2.233146926698541,-1.1484678659646177,-0.6723107433580157,-1.177781296518226
47,DWLS,2,200,-1.8706983289099137,-2.5578999286043285,-2.536109477540289,-0.052347948358237584,-0.8840323117975821,-2.1275354098922326,-2.220077612173131,-1.3939810389652079,-1.0729112383387056,-1.127760876888386
48,DWLS,2,200,-1.0887154606409142,-1.2498708509421481,-1.465533240134779,-1.3951926883401473,-1.3287444668049222,-2.096996290361122,-2.2086243460357604,-1.2730320932480867,-0.10417437635463558,-0.6447731072188961
49,DWLS,2,200,-1.632143245861354,-1.5307064050998582,-1.4089218298321986,-1.1106509813317678,-0.9118732228629418,-2.092929511878572,-2.207609809905771,-1.2534261244416873,-0.016893059480545952,-0.39708698898565586
50,DWLS,2,200,-1.4241000946637543,-1.4358644344303582,-0.9277012267030288,-0.3645948606016476,-0.6596281658585821,-2.103113799564632,-2.220077612173131,-1.4261416696444478,-0.7366350506988959,-1.3906489946024863
51,DWLS,2,200,-2.1578100994169436,-1.2399815747454295,-1.318082931597799,-0.2570133947133471,-0.18645559128055225,-2.0916605334272518,-2.2331469266985318,-1.8096613836426974,-0.06457920707616596,-1.6215569641173655
52,DWLS,2,200,-2.141848354607164,-2.1938414394316883,-2.0430358963688287,-0.7281847284739774,-0.5889074270561921,-2.090645997297252,-2.2239116701173414,-0.6095060653359679,-0.9685306899032755,-0.4910109921165959
53,DWLS,2,200,-1.9811102665789746,-0.8557603387903185,-0.33785872138921913,-0.20495509078526722,-0.19320122905576234,-2.103113799564632,-2.2116714050776616,-1.3166396754865077,-0.5708984174799661,-1.2027734950740858
54,DWLS,2,200,-1.464958799592144,-1.5048454969119989,-1.8406745367091686,0.18795803093339253,-0.7315510361586723,-2.094707592469142,-2.2282668515381006,-0.6432739599798877,-0.9177185119579357,-0.7276346131394558
55,DWLS,2,200,-1.499212317592214,-0.8592494828111086,-0.44582819449253897,-0.7259375641695474,-1.455315090880762,-2.0929295118785927,-2.2086243460357506,-1.5417892416661867,-1.1952743619285258,-0.4048040459306457
56,DWLS,2,200,-1.6509657500010246,-0.951077427442349,-1.4884342326581985,-0.2799849353102978,-1.186216653952972,-2.1215923277618427,-2.2086243460357506,-1.5111050662994971,-0.888955447866166,-0.9086148837243159
57,DWLS,2,200,-1.841287103074834,-1.841566918859868,-1.3371020632106385,0.38496711155508245,-0.8317098681505021,-2.0908995774786816,-2.244499222500751,-1.0787007990329076,-1.237612680232246,-1.584794706082246
58,DWLS,2,200,-3.092056316574834,-1.4276497768136782,-1.8474285374897794,-0.5867222801770572,-1.3930909315494615,-2.0916605334272615,-2.2385561403703416,-0.5761679238173077,-2.047766405123566,-0.8922384558859255
59,DWLS,2,200,-0.347766860407904,-1.0478520524416188,-1.090928526592109,0.11366759490413283,-1.1817885505577523,-2.111303038929592,-2.207863390087181,-1.293695788782597,-0.27071380859193594,-0.4087083815268358
60,DWLS,2,200,-2.5275169347191837,-1.5626297436188687,-1.6579057605281895,-0.9345106656108875,-0.21434634367320238,-2.0997975599344425,-2.2116714050776616,-0.6720486785847974,-1.642120224100846,-0.5235053809159756
61,DWLS,2,200,-1.2128354125972247,-2.1499719482344184,-2.2922358869208894,-0.6018584261719375,0.08196740012986758,-2.090645997297262,-2.2086243460357604,-0.592101883247858,-0.6529158495182756,-1.5448941230953763
62,DWLS,2,200,-1.4849036685014145,-0.025807540788708866,-0.7190289608755993,-0.5224758740406072,-0.9655549348289618,-2.0908995774786625,-2.2239116701173303,-1.2786349120735376,-1.2388919199412456,0.2552342029758542
63,DWLS,2,200,-2.0459300360013444,-1.9660416833163588,-2.411871218930079,-0.10755937247854744,-0.8751437819307719,-2.1031137995646416,-2.2444992225007314,-1.2186833626132967,-1.3309646644296667,-2.600567204445556
64,DWLS,2,200,-1.4893233643737533,-1.810700222056339,-1.6883333473782784,-0.6539710311214975,-1.3642317677625324,-2.1215923277618427,-2.233146926698541,-1.0223230341090677,-1.7780848747834657,-0.9956976467366256
65,DWLS,2,200,-1.8941525063921834,-2.4303954415067186,-2.1442595158914592,-1.0538846161159778,-1.3039998983153924,-2.0947075924691623,-2.2076098099057613,-1.135928853258237,-1.9654756011364558,-1.7632979302825564
66,DWLS,2,200,-2.0943535087879837,-0.33999093816502873,-0.3398512718138888,-1.0232457112831175,-0.9566988224820618,-2.0916605334272322,-2.2167613725429707,-1.7064368856882777,-1.0440424163252657,-0.2295614014023957
67,DWLS,2,200,-1.9833560244203443,-2.5667031419663693,-2.6508755273135987,-0.005962493873087199,-0.8290913699758324,-2.0908995774786625,-2.220077612173141,-1.1057517518057078,-1.8794708336241361,-2.0183200778312456
68,DWLS,2,200,-0.7999220354369743,-0.8279156482763589,-1.2801997899449988,-0.33151257256153754,-1.3696016758815925,-2.0969962903611123,-2.2282668515381006,-1.1742872599923175,-0.43530763186745564,0.07816331971319396
69,DWLS,2,200,-0.9168489715140039,-1.6507012612535086,-1.4368768380864088,0.012278055337392596,-0.8504285370156822,-2.1069478575088425,-2.2076098099057515,-1.0599117784562566,-1.3915927573570561,-1.1844531753405156
70,DWLS,2,200,-1.2769825712299545,-1.4378054102058995,-1.3511025754445787,-1.3376263892211173,-1.6446349592344027,-2.0997975599344616,-2.207863390087171,-2.173242996477288,-0.22960539881026615,-0.28930645000409605
71,DWLS,2,200,-2.5292840778212136,-1.6925956045533783,-1.7262156600046492,-0.5055636515962976,-0.4048804433249724,-2.090645997297262,-2.2098933244870804,-1.0062955738771175,-2.645324458713416,-2.4984167784434352
72,DWLS,2,200,-1.5592185213117746,-1.9123051217389089,-1.7754901184437684,-0.8408372073679573,-0.9491494440892423,-2.096996290361122,-2.2116714050776505,-0.4644381965282378,-1.532914408808056,-1.0088992130171157
73,DWLS,2,200,-2.7187732940409735,-1.1816182219838594,-1.2221296909298491,-1.0824308977216777,-1.6891741462931216,-2.1069478575088425,-2.207863390087171,-1.7633430289042178,-1.7662229494347357,-0.01647869336394575
74,DWLS,2,200,-0.8068361840000939,-0.9542818989500483,-1.0953082254693893,-0.6257174693663471,-1.0996785311217825,-2.091660533427242,-2.2078633900871614,-1.241776979938917,-1.0754053982373557,-0.9992856649112363
75,DWLS,2,200,-1.7389531458516343,-0.9966388851268486,-1.3110169927382085,-0.8676781110555177,-1.4705628773306827,-2.0916605334272322,-2.207609809905771,-1.5177879472762175,0.12755090879662395,-0.439580063507266
76,DWLS,2,200,-2.1162199998328837,-2.019861422874219,-1.6417989327609788,-0.3240762387846277,-0.8731013465555924,-2.0947075924691623,-2.2116714050776505,-0.9493108135186078,-0.8797720922303562,-2.099466426152756
