id,method,factors,nobs,bias_withoutC_L_SE2,bias_withoutC_L_SE6,bias_withoutC_L_SE8,bias_withoutC_L_SE12,bias_withoutC_T_SEi8.b,bias_withoutC_T_SEi12.b,bias_withoutC_C_SE1,bias_withoutC_Errvar_SE2,bias_withoutC_Errvar_SE6
33,DWLS,2,200,-0.5097449720473428,0.08602780108037736,-1.5495157812135416,-0.9764339045563647,-2.040497374656497,-2.1630087594894083,-2.166148160991435,1.6234090688954892,1.5598984230998196
34,DWLS,2,200,0.029860959374987395,-0.8527622919210526,-0.1848600114770116,-1.0474963410988545,-2.028386888896716,-2.177588880204638,-1.6909611092216947,2.37493295255848,-1.4833288346172202
35,DWLS,2,200,-1.4543418940446022,-0.6643800160612723,-0.7251202464257713,-1.263134815278815,-2.043623164710047,-2.1813387478214583,-0.7896854377809446,0.7838582656598592,0.07622608950266924
36,DWLS,2,200,-1.2485625663185833,-1.3770098639330028,-0.39745037998901167,0.10741819930420518,-2.045370220626967,-2.1862593463400386,-1.4165505410996246,1.2888155004535495,0.5224061424406796
37,DWLS,2,200,-0.9511611536885428,-0.27384027533971234,-1.1973907712409713,-0.962094661493635,-2.0702896092761063,-2.1733812032619286,-2.2825891276534156,2.2661748471240597,0.8882753715147594
38,DWLS,2,200,-1.7672981598577422,-0.6890965605947832,-1.8357279201968717,-2.970441870799065,-2.0560943239960663,-2.1989529411875584,-0.5007117749138951,2.4583319570302695,0.6113175349437499
39,DWLS,2,200,-1.3578796993086721,0.12650566190685747,-0.8168897453646219,-2.288090563897664,-2.033081190744826,-2.1641546019273483,-0.8687705567154952,2.0393184025327393,-1.6309629779764911
40,DWLS,2,200,-1.4872729006504029,-0.0809801432495226,-1.1174440841121318,-1.4828038425316146,-2.0256661925074164,-2.1637041911306385,-1.4055020673081646,0.8969690678143696,0.48935949202098955
41,DWLS,2,200,-1.6232770457770225,-2.1423316764314833,-0.7104497093883416,-1.2656492324536146,-2.0266683034623867,-2.1608380141352286,-2.166291723827925,1.7767288271172397,0.6732760253471998
42,DWLS,2,200,-1.078480865194973,-0.6827807281808124,-0.892296622906532,0.037728532363515144,-2.084599715174086,-2.1782561730162477,-1.3891385804466847,1.4357832858734896,-0.20019637997424067
43,DWLS,2,200,-0.931202015896463,-0.15732967645135237,-1.6700728561864415,-2.5183216871322953,-2.0525945029110373,-2.2007081678853386,-1.2013739026482146,1.3622180351258097,-0.13066052112675058
44,DWLS,2,200,-0.5887017604511726,0.08112212529324744,-0.2695139254392319,-1.3583278206013147,-2.0283628431583267,-2.1718508069257374,-1.2658472237917051,2.5036884413706697,0.40301814725632945
