id,method,factors,nobs,ncat,bias_withC_L6,bias_withC_La,bias_withC_L7,bias_withC_Ti6,bias_withC_Ti7,bias_withC_C1
49,DWLS,2,200,2,-2.7195075092406595,-38.908104560103,4.8104930475611205,-20.1893479141851,-7.52698620998299,14.14163065014934
50,DWLS,2,200,2,-6.233848082515166,-19.9378650826975,-3.916613316405637,-10.043372051147,1.2533469508069301,-31.988897933905996
51,DWLS,2,200,2,-2.291146649648838,12.646512324549997,-0.6231294926822561,-15.096921549677699,-8.78448378958718,-29.497620115638668
52,DWLS,2,200,2,17.57239618279734,-17.7495020375215,1.2530960600046215,11.3038540644565,12.566134685507398,49.98546266612434
53,DWLS,2,200,2,-1.3805376779033227,27.85338579572949,-1.7046231370947544,7.52698620998299,2.50689082587111,5.083669412445665
54,DWLS,2,200,2,-3.5351203643369895,18.649120417965,9.994272087713737,5.01535834647337,3.76082876612559,-13.628158484830328
55,DWLS,2,200,2,-5.303968187418999,-77.77792252599221,-11.863397266933251,3.76082876612559,11.3038540644565,-36.00332580428533
56,DWLS,2,200,2,-4.652009094911166,18.764783913289993,3.526717997863249,-10.043372051147,8.78448378958718,6.484359393633343
57,DWLS,2,200,2,9.356660977134668,39.949922102169495,-1.502209314109257,13.8304207961405,6.27067779432138,4.890483992815331
58,DWLS,2,200,2,7.956045145352846,-22.70132020795,-2.5890652662640123,0,0,73.44212179041367
59,DWLS,2,200,2,-2.0682009466911717,16.09141079445299,-8.721611078057634,5.01535834647337,-5.01535834647337,59.69578192631868
60,DWLS,2,200,2,1.5156626714380081,-58.361196569092144,-3.8831097306434996,8.78448378958718,-2.50689082587111,-16.599549252637996
61,DWLS,2,200,2,-14.945770152721325,4.907660821418497,-2.2898806161098797,2.50689082587111,-15.096921549677699,15.66437658931134
62,DWLS,2,200,2,-35.975494963837,60.261861884486976,-14.838542070281624,-2.50689082587111,-8.78448378958718,38.57698537740667
63,DWLS,2,200,2,-20.540405410088994,94.04504369831548,0.6233902703407512,-7.52698620998299,-1.2533469508069301,-47.16686818049367
64,DWLS,2,200,2,0.7855638362326649,14.95432855133999,9.455186189551739,-8.78448378958718,5.01535834647337,-19.686446367951998
65,DWLS,2,200,2,-15.889392307078495,60.97867005340748,0.6813309802198714,-3.76082876612559,-2.50689082587111,39.711836916112006
66,DWLS,2,200,2,-12.930549579817505,32.770708795158505,-16.294852913275008,-2.50689082587111,1.2533469508069301,40.413926271446336
67,DWLS,2,200,2,14.813654058096335,37.531548299510995,-9.18257429122113,3.76082876612559,10.043372051147,31.46388515825801
68,DWLS,2,200,2,16.413401255713666,-23.240355738172997,-15.50892785903013,2.50689082587111,-13.8304207961404,-27.93261671090333
69,DWLS,2,200,2,0.48897887295599557,6.65432024724849,-4.546034250670253,17.6374164780861,-11.3038540644565,11.750993441687674
70,DWLS,2,200,2,7.631728138114672,-44.348343068742004,-4.7909543672505075,-1.2533469508069301,-5.01535834647337,27.16679123767968
71,DWLS,2,200,2,11.235694312308679,-39.184014715765,-0.93060749017701,13.8304207961405,3.76082876612559,15.949540583560335
