id,method,factors,nobs,ncat,bias_withC_L_SE6,bias_withC_L_SEa,bias_withC_L_SE7,bias_withC_T_SEi6,bias_withC_T_SEi7,bias_withC_C_SE1
1846,PML,2,400,2,-0.43742571235193195,-0.41038538572688993,-0.49864052744806664,0.41649885513662527,0.4484617308125466,-0.07321433002336342
1847,PML,2,400,2,-0.673476428695162,-0.7594154039877093,0.7063891807994931,0.4238506190346755,0.4341310706567361,0.3413596789116957
1848,PML,2,400,2,-0.5469545019956112,-0.4343746138530405,0.8628570584046633,0.4234135201800854,0.44118936720879687,0.26943199292625564
1849,PML,2,400,2,-0.6697567762370225,-0.031408964814060025,-0.30903580321578683,0.42733083581281556,0.44918897396903634,0.3306616717012767
1850,PML,2,400,2,-0.2229698156683918,-0.3532520661446492,0.006503477851313444,0.4184981808772553,0.4484689857035262,0.38467007187397567
1851,PML,2,400,2,-1.1652235772358022,-0.7002242505083702,0.48108307215608337,0.4274046600296247,0.44102451678493665,0.2301825065463059
1852,PML,2,400,2,-0.3381094262136015,-0.26688179702336057,-0.5194565929415168,0.4271728933941052,0.431594886668496,-0.2696839941576934
1853,PML,2,400,2,0.526070960681408,0.34834532777955063,-0.045881582282826516,0.4174379657488847,0.4467970249026468,0.06613580386574669
1854,PML,2,400,2,-0.3613309363452021,0.17447844644642996,-0.31197073712539714,0.42138734710393533,0.4426329870664658,-0.5318333297227542
1855,PML,2,400,2,-0.16932952319494154,0.014221527396629519,-0.244737357161217,0.4271736336911955,0.44858512583491605,-0.14177510087508421
1856,PML,2,400,2,0.2562868212498584,-0.3676556873467199,-0.9490513352578368,0.42565868305386445,0.448908603003266,-0.04782013886381331
1857,PML,2,400,2,0.15652352293186803,0.4023018906094397,-0.001673593882067087,0.4214711268328647,0.4497429371993364,-0.23492094485780407
1858,PML,2,400,2,-0.014247639664052153,0.3047308710864907,0.5585866636186633,0.42707190653763494,0.4455073961569869,0.18690893679965542
1859,PML,2,400,2,-0.766394457006002,-0.17723429319543987,0.3941194205393128,0.42721055588103435,0.44769394785344613,0.10567303843799641
1860,PML,2,400,2,0.19965345782939833,0.12833363101018014,-0.17887033042475672,0.4267736954590248,0.44757235742972634,0.0662413085109656
1861,PML,2,400,2,0.05720659070445819,-0.25831970606671056,0.11202912973136345,0.41682986280124484,0.44564806606334634,-9.162166493242863e-4
1862,PML,2,400,2,0.030779652905078142,-0.3588748534427505,0.3016931110017933,0.4214457573222849,0.4450091886612356,0.03801016589123629
1863,PML,2,400,2,-0.9344987662537316,-0.4604410928693001,0.08666457490812338,0.4282029663119344,0.44583720373902597,-0.3536987352308535
1864,PML,2,400,2,0.4845341262083483,-0.08205024448268011,-0.3850216823351966,0.4263580054143942,0.4454647395594369,-0.045802372225113575
1865,PML,2,400,2,-0.4858401129443517,-0.06673007023862004,0.014942918459093235,0.4202499096286644,0.44179324745880627,-0.4228365433051842
1866,PML,2,400,2,-0.012901112921571978,0.5003678812097803,-0.6579056771073171,0.4275888566809355,0.4489776080105659,-0.1790990629072342
1867,PML,2,400,2,0.6632136295019679,0.2976292146203402,0.3416057885316133,0.4211122739322254,0.44516148041642556,0.32306582282554536
1868,PML,2,400,2,-0.6420400705815024,-0.31986895025298,0.25620678592955315,0.4282209167542045,0.44168838064698596,0.13675164396741574
1869,PML,2,400,2,0.10363790832644826,-0.21785738944510025,-0.18406338738854652,0.42739298598411524,0.4479050220386166,0.4694893069030662
1870,PML,2,400,2,-0.6557186318040614,-0.4367492037872303,0.005163724137453168,0.4278611340450045,0.4479049788488662,0.01499309877874555
1871,PML,2,400,2,-0.5394451396863411,0.052035928509870655,-0.10569706791154695,0.42124817994060454,0.4483889659747567,-0.07141735781579367
1872,PML,2,400,2,0.25287731270835845,-0.09851952608389003,0.07528127540089302,0.42061244256356434,0.43977201284010614,0.1666048180759161
1873,PML,2,400,2,-0.7199230323581816,-0.23148774831519975,-0.15484895508610652,0.41671684410443527,0.4492740370794057,0.12757746462818548
1874,PML,2,400,2,0.45384513755201833,0.5202273629262705,0.3246595792367635,0.4226055317710545,0.4492648576556957,0.18676800131382648
1875,PML,2,400,2,-0.0033175771678217725,-0.5671685723086795,-0.25753080710715703,0.42762175468108454,0.44819376850381565,0.3038536562093866
1876,PML,2,400,2,0.3508790449573883,-0.13136723528852923,-0.15326430192168713,0.42117817691060544,0.449900099019436,0.14274878446931538
1877,PML,2,400,2,-0.35323676436576146,-0.2555385118376899,-0.9521024418089469,0.4284029977897147,0.4487842938562067,0.4367457516724557
1878,PML,2,400,2,-0.47374864613317147,-0.16202541600617987,0.17555891912196323,0.4222896795321243,0.44539888728327565,-0.3007040879476647
1879,PML,2,400,2,0.24684401122459787,0.2696476897782407,-0.4646999692727971,0.42734961461883547,0.44079103568218647,-0.06168699749684453
1880,PML,2,400,2,-0.2291545832152221,-0.19220990680123007,-0.3941743398521172,0.4059765647004554,0.44905759351376584,-0.3096201367953244
1881,PML,2,400,2,0.3789807786563383,0.2208782042346702,0.33133300915771313,0.42151664616897483,0.4459244168912663,-0.009010264598934004
1882,PML,2,400,2,0.14694206830906803,0.24667826024283995,0.1798283578483932,0.4224056955660846,0.4493772293954257,0.3147534263563165
1883,PML,2,400,2,0.04350973021381849,0.5476737981577995,-0.09713803850702682,0.42553420606523534,0.4452924744634268,0.3864637545224564
