id,method,factors,nobs,ncat,bias_withoutC_L_SE6,bias_withoutC_L_SE7,bias_withoutC_T_SEi6,bias_withoutC_T_SEi7,bias_withoutC_C_SE1
46,PML,2,200,2,-2.4759519008678454,-2.61179345757874,-2.171246109128781,-2.164548489551822,-3.275854008564974
47,PML,2,200,2,-2.541775593347155,-1.5741514219031791,-2.181674096325971,-2.1439612909049415,-2.444124220371413
48,PML,2,200,2,-3.0837293264606753,-1.9536907149576899,-2.168237834817402,-2.142412101690891,-2.284568195272743
49,PML,2,200,2,-2.5414344468953147,-1.9312280078573094,-2.228085295471692,-2.146863140109481,-2.9515697696781236
50,PML,2,200,2,-2.6557286319087354,-1.4467623960933096,-2.177976053315561,-2.1387993224847914,-3.235129479401194
51,PML,2,200,2,-2.2249513119320956,-1.7690587876058497,-2.198818557582151,-2.152752449870242,-2.8012408829579645
52,PML,2,200,2,-0.707156885160455,-1.6749075666067592,-2.182797095318162,-2.1633964457765513,-1.2171847084683842
53,PML,2,200,2,-2.177821692862615,-1.94016176404527,-2.1713220213120015,-2.1392444273605316,-2.987838954951774
54,PML,2,200,2,-2.4931253734465546,-1.5226378456018492,-2.165570107929102,-2.1440566011409214,-2.9602085011295536
55,PML,2,200,2,-3.113358347711785,-2.54876834746553,-2.163354002022612,-2.1602637008553223,-3.3108110168751343
56,PML,2,200,2,-2.445837053938475,-1.6376650241585695,-2.177320249825221,-2.151252750280651,-2.8363557320162935
57,PML,2,200,2,-1.4961206400718143,-1.7813071140063295,-2.1939934372827112,-2.1451133732243917,-2.506605259979004
58,PML,2,200,2,-1.3151555119226443,-2.563536964732459,-2.1605774316955513,-2.136776712131991,-1.3312846727465535
59,PML,2,200,2,-1.781036450521925,-3.171658267453799,-2.167258349937372,-2.1424180928053316,-1.6694915804973536
60,PML,2,200,2,-2.7279310791601854,-2.5401318925348386,-2.1736261969477813,-2.139222701171131,-3.368367225741134
61,PML,2,200,2,-3.0794080877270953,-1.4524023116517897,-2.161089699042071,-2.1759181012259017,-2.7233883290964642
62,PML,2,200,2,-4.033751281767464,-3.5243431264184193,-2.162038740025901,-2.148833723180192,-2.673615634790373
63,PML,2,200,2,-4.595693765684734,-2.3233593159637898,-2.171353244124191,-2.138390970412121,-4.027042544237244
64,PML,2,200,2,-2.717742777649755,-1.5080507259835993,-2.174614899580271,-2.143832065793942,-2.9946723362823837
65,PML,2,200,2,-1.9805240489698548,-1.2391389623318296,-2.163658118398311,-2.138067209017622,-1.4420021748650245
66,PML,2,200,2,-2.3090017953904654,-3.26482503250516,-2.163012054525522,-2.139172531539371,-2.5621798260981334
67,PML,2,200,2,0.15562393507229516,-2.979442649057959,-2.167652963529182,-2.152049577004772,-2.2880095919288133
68,PML,2,200,2,-1.3703340069768852,-3.660192575120659,-2.163655226890432,-2.170065379391592,-3.3237062208420833
