id,method,factors,nobs,ncat,bias_withoutC_L6,bias_withoutC_L7,bias_withoutC_Ti6,bias_withoutC_Ti7,bias_withoutC_C1
1706,PML,2,400,2,-7.580468866918821,-1.9193588349535051,-0.6306907419656019,-7.52806895001733,-6.041798741446003
1707,PML,2,400,2,25.476300384571516,2.571278002639246,-1.26936026925853,0.612866377009395,4.2734473030706654
1708,PML,2,400,2,20.384504241057662,3.0583049082309883,5.00574173081812,-0.00934766402205851,48.658698550262336
1709,PML,2,400,2,21.602573961881998,3.505097776287866,-2.51002540543522,-5.6399499839811496,31.73674297627035
1710,PML,2,400,2,13.921218235919836,-3.2293615648695124,1.8834414503983699,5.0165338219627404,5.076307801138343
1711,PML,2,400,2,21.778356272467512,0.4916767879118711,1.87540361315244,6.89483918688107,-18.129995342456667
1712,PML,2,400,2,29.405399832163504,5.258265739975745,-1.25035642050821,4.38748424190275,68.48961121902599
1713,PML,2,400,2,25.95763780578,-4.937118604328508,7.5251071968754095,8.79019495225679,18.181863848516667
1714,PML,2,400,2,7.945701761379007,1.2867817980207474,9.41357083225609,10.6765778280356,-31.064484166767325
1715,PML,2,400,2,17.351879600152998,10.363429327326118,-3.13323370687597,5.0218497627496,27.466620583721678
1716,PML,2,400,2,18.3391495614015,-2.823242597928627,6.92575473732823,-6.89969749378105,4.847700097234675
1717,PML,2,400,2,20.650182411938665,3.1041664352291223,0.00392564877375144,3.1383815389512897,-3.0013991814383245
1718,PML,2,400,2,28.883424138872833,-6.163133974110751,1.88600407716253,6.26963399561951,16.263554433547675
1719,PML,2,400,2,9.614252632302165,12.83527114037987,-7.525935009578689,6.27264338643525,-10.122906818796
1720,PML,2,400,2,19.19700538485218,5.630894052648119,-5.01475735946871,-3.1360185578435096,12.063776454283675
1721,PML,2,400,2,3.8976915110193375,7.016694187122238,-0.621828329099547,3.13466056325609,1.8747587902816685
1722,PML,2,400,2,18.645472811737008,9.382867787643246,9.40537313416593,11.9398570137764,-22.12056785120566
1723,PML,2,400,2,24.106789336502345,7.125236700415247,5.0335551387248305,3.76028874940728,-19.119057529749668
1724,PML,2,400,2,31.08596380140318,-2.700415798957634,-4.378520891126151,-10.667866974767499,65.08004636806768
1725,PML,2,400,2,20.002861576762008,2.972334439971372,0.634754970643677,1.8777845087259,20.742777949645337
1726,PML,2,400,2,15.425741386278336,7.705003364109245,-4.39044798050265,1.8811970277593097,-22.125733595843993
1727,PML,2,400,2,21.024865945673174,-7.151847019956262,8.15468206384452,-2.5078053940014398,5.194918832488331
1728,PML,2,400,2,2.5826256810111787,3.78479296499537,-2.50116049066549,3.14212418227778,33.346245371423336
1729,PML,2,400,2,12.578803375495994,6.637310295061122,-0.627310296732978,-6.27420592268083,26.760024570701336
1730,PML,2,400,2,28.82745880342184,-0.8756493517746294,5.024107836621821,-3.7656033109587996,30.00468680438534
1731,PML,2,400,2,15.6736625773925,3.8687664596919884,-3.75403632389558,-5.64545913123805,11.369961234798332
1732,PML,2,400,2,3.891778367783002,-4.298858902312755,1.8875064903078502,2.5059712994020997,31.338331886859677
1733,PML,2,400,2,6.135846632031336,2.5486206446738713,-1.25133717373907,3.76388214233312,-21.195198833064996
1734,PML,2,400,2,29.353682068108345,-7.559141901051128,-3.13520069677633,4.39065879683515,5.57369883816968
1735,PML,2,400,2,22.00930560067501,2.6620271041299937,-2.5085134898546,6.88943705473786,-33.518263473615335
1736,PML,2,400,2,18.42204706069184,3.74645438009312,-4.3800616354374196,-8.15666240719458,39.56036962479567
1737,PML,2,400,2,20.07438631180734,5.562173130733123,12.568907347853301,1.87671083107122,-14.095965109054328
1738,PML,2,400,2,15.494813396305004,1.4078683610554976,3.7639347374209904,-2.50206561422504,7.0533571482783355
1739,PML,2,400,2,3.8796940920161616,4.9412080244507495,3.13865842721215,-3.1326698171722698,25.380238236689003
1740,PML,2,400,2,22.32635317465868,2.064288888675367,-0.627688748617201,-7.51789887174526,39.75176124454568
1741,PML,2,400,2,10.417844357025679,-1.2622189202201317,-1.2501497655192,0.630237007542631,51.112768844288006
1742,PML,2,400,2,18.302445123488997,5.535403906709993,2.50447660577576,-1.25173451904135,30.56101747907934
1743,PML,2,400,2,-4.727683959439992,-1.190303626535008,8.782031096758871,-1.2513177931085802,23.793007176553676
1744,PML,2,400,2,12.05997423663933,-7.288944132951128,8.15864291618374,-8.16073963173133,24.799456320722
1745,PML,2,400,2,3.340777433044839,-8.021558868827883,8.16050410761559,11.936960841542001,-14.201073159361663
1746,PML,2,400,2,28.510097180421674,-6.97275675746288,6.900803599038411,-2.50990802555152,1.8496468313676795
1747,PML,2,400,2,16.778466960703177,-2.9277995452773737,-8.78371928766253,-5.0203864344886595,37.77527950329133
1748,PML,2,400,2,19.59157934318767,3.561486213162615,-6.27346833590185,0.626125644289516,-3.9787093796909887
1749,PML,2,400,2,28.751407776153837,-3.073816816689126,-5.63941760534026,-0.0035569752302782396,7.751262682908674
1750,PML,2,400,2,25.04021774750968,10.691872737624994,-0.631099738085741,-1.25116403702882,41.117091549654674
1751,PML,2,400,2,-6.6630074322655,-0.5889907352418788,-3.13328375462556,3.13333955330112,45.91231578275035
1752,PML,2,400,2,1.8823034878846698,4.106866800429376,-3.7623032670148797,-4.391093247963,-33.649638213639335
1753,PML,2,400,2,15.958154734607508,1.1694872414610007,-3.12467432537307,-1.2557529895680102,38.79078781857167
1754,PML,2,400,2,28.375031485413672,-7.019609330930002,-3.77208771046317,-1.2522926886549899,23.12303958800068
1755,PML,2,400,2,17.890065030418846,-4.232270736589758,6.27886686152558,2.50664499950578,28.072222268614
1756,PML,2,400,2,21.839664284433496,-1.2057322500881318,-0.6234714113571871,-1.26061983664771,25.83129753150567
1757,PML,2,400,2,26.932394583839002,8.358201431123744,1.24880364136751,-5.63939650945868,-26.931934847073997
1758,PML,2,400,2,16.577515175525843,0.7414229991254961,0.6336559490725989,8.15819250555673,9.31613796123367
